0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3,0.1,0.2,0.35,0.05,0.0,0.0,0.0
0.0,0.0,0.0,0.012269938650306749,0.1411042944785276,0.49079754601226994,0.2822085889570552,0.0736196319018405,0.0,0.0,0.0
0.0,0.0,0.0,0.002745367192862045,0.015099519560741249,0.51681537405628,0.39327385037748797,0.07137954701441318,0.0006863417982155113,0.0,0.0
0.0,0.0,0.0,0.001364877161055505,0.004094631483166515,0.17743403093721566,0.5040946314831665,0.31028207461328483,0.00272975432211101,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.035227272727272725,0.2863636363636364,0.6693181818181818,0.007954545454545454,0.0011363636363636363,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.30857142857142855,0.6342857142857142,0.05714285714285714,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
